Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-D-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Starten der YouTube-App
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).";https://www.youtube.com/;Throughput
WB-D-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-D-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-D-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-D-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-D-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-D-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-D-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-D-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-D-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-E-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Starten der Wikipedia-App
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).";https://www.wikipedia.org/;Throughput
WB-E-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-E-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-E-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-E-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-E-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-E-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-E-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-E-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-E-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
